n_factors_true,n_factors_final,factor_match,n_true_items,n_weak_items,total_items,N,ratio,kmo_overall,meets_kmo_criterion,meets_ratio_criterion,precision,recall,n_iter
3,3,True,9,6,15,150,10.0,0.6907136523620159,True,True,1.0,1.0,7
3,3,True,15,5,20,179,8.95,0.7910577274091448,True,True,1.0,0.9333333333333333,7
3,3,True,9,11,20,150,7.5,0.5976990369859179,False,True,1.0,1.0,12
3,3,True,15,8,23,229,9.956521739130435,0.8237100650890501,True,True,1.0,1.0,9
3,3,True,9,13,22,218,9.909090909090908,0.6604475517599298,True,True,1.0,1.0,14
3,3,True,18,6,24,173,7.208333333333333,0.789860758051584,True,True,1.0,0.8888888888888888,9
2,2,True,12,8,20,204,10.2,0.8259884668087409,True,True,1.0,1.0,9
3,3,True,15,11,26,201,7.730769230769231,0.7770807015417313,True,True,1.0,1.0,12
2,2,True,12,7,19,197,10.368421052631579,0.8074183134655236,True,True,1.0,0.9166666666666666,9
3,3,True,9,7,16,180,11.25,0.6769657644689258,True,True,1.0,0.8888888888888888,9
3,3,True,9,10,19,171,9.0,0.7070445468218179,True,True,1.0,1.0,11
2,2,True,8,7,15,150,10.0,0.7360317596587962,True,True,1.0,1.0,8
2,2,True,8,8,16,156,9.75,0.7148351308978473,True,True,1.0,0.75,11
3,3,True,15,5,20,150,7.5,0.773563728517305,True,True,1.0,0.9333333333333333,7
2,2,True,6,15,21,200,9.523809523809524,0.7254477628902759,True,True,0.8571428571428571,1.0,15
3,3,True,9,14,23,274,11.91304347826087,0.635236347187029,True,True,1.0,1.0,15
2,2,True,6,14,20,223,11.15,0.683907715881329,True,True,1.0,1.0,15
2,2,True,10,13,23,186,8.08695652173913,0.7728352015063111,True,True,1.0,1.0,14
3,3,True,12,11,23,228,9.91304347826087,0.7475094364387647,True,True,1.0,1.0,12
2,2,True,10,11,21,197,9.380952380952381,0.8135170789852856,True,True,1.0,1.0,12
2,2,True,8,15,23,189,8.217391304347826,0.7839050313451225,True,True,1.0,1.0,16
3,3,True,12,11,23,213,9.26086956521739,0.7339794906079543,True,True,1.0,1.0,12
